 

stn;time;prestas0
ATT;202406021650;731.2
ATT;202406021700;731.2
ATT;202406021710;731.3
ATT;202406021720;731.4
ATT;202406021730;731.5
ATT;202406021740;731.5
ATT;202406021750;731.6
ATT;202406021800;731.6
ATT;202406021810;731.6
ATT;202406021820;731.7
ATT;202406021830;731.7
ATT;202406021840;731.8
ATT;202406021850;731.7
ATT;202406021900;731.7
ATT;202406021910;731.7
ATT;202406021920;731.6
ATT;202406021930;731.6
ATT;202406021940;731.7
ATT;202406021950;731.7
ATT;202406022000;731.8
ATT;202406022010;731.8
ATT;202406022020;731.8
ATT;202406022030;731.9
ATT;202406022040;731.8
ATT;202406022050;731.8
ATT;202406022100;731.8
ATT;202406022110;731.8
ATT;202406022120;731.8
ATT;202406022130;731.8
ATT;202406022140;731.8
ATT;202406022150;731.8
ATT;202406022200;731.7
ATT;202406022210;731.7
ATT;202406022220;731.7
ATT;202406022230;731.6
ATT;202406022240;731.6
ATT;202406022250;731.6
ATT;202406022300;731.6
ATT;202406022310;731.4
ATT;202406022320;731.4
ATT;202406022330;731.3
ATT;202406022340;731.3
ATT;202406022350;731.3
ATT;202406030000;731.2
ATT;202406030010;731.1
ATT;202406030020;731.1
ATT;202406030030;731.1
ATT;202406030040;731.1
ATT;202406030050;731.1
ATT;202406030100;731.1
ATT;202406030110;731.0
ATT;202406030120;731.0
ATT;202406030130;731.0
ATT;202406030140;730.9
ATT;202406030150;730.9
ATT;202406030200;730.9
ATT;202406030210;730.8
ATT;202406030220;730.7
ATT;202406030230;730.7
ATT;202406030240;730.6
ATT;202406030250;730.6
ATT;202406030300;730.6
ATT;202406030310;730.6
ATT;202406030320;730.5
ATT;202406030330;730.5
ATT;202406030340;730.5
ATT;202406030350;730.5
ATT;202406030400;730.5
ATT;202406030410;730.5
ATT;202406030420;730.6
ATT;202406030430;730.6
ATT;202406030440;730.6
ATT;202406030450;730.6
ATT;202406030500;730.7
ATT;202406030510;730.7
ATT;202406030520;730.8
ATT;202406030530;730.8
ATT;202406030540;730.9
ATT;202406030550;730.9
ATT;202406030600;730.9
ATT;202406030610;731.0
ATT;202406030620;731.0
ATT;202406030630;731.1
ATT;202406030640;731.1
ATT;202406030650;731.2
ATT;202406030700;731.2
ATT;202406030710;731.2
ATT;202406030720;731.2
ATT;202406030730;731.2
ATT;202406030740;731.3
ATT;202406030750;731.3
ATT;202406030800;731.3
ATT;202406030810;731.3
ATT;202406030820;731.3
ATT;202406030830;731.4
ATT;202406030840;731.4
ATT;202406030850;731.4
ATT;202406030900;731.5
ATT;202406030910;731.5
ATT;202406030920;731.5
ATT;202406030930;731.5
ATT;202406030940;731.6
ATT;202406030950;731.7
ATT;202406031000;731.7
ATT;202406031010;731.7
ATT;202406031020;731.7
ATT;202406031030;731.8
ATT;202406031040;731.8
ATT;202406031050;731.8
ATT;202406031100;731.9
ATT;202406031110;731.9
ATT;202406031120;731.9
ATT;202406031130;731.9
ATT;202406031140;731.9
ATT;202406031150;731.9
ATT;202406031200;731.9
ATT;202406031210;731.9
ATT;202406031220;731.9
ATT;202406031230;731.9
ATT;202406031240;731.9
ATT;202406031250;731.9
ATT;202406031300;731.9
ATT;202406031310;731.9
ATT;202406031320;731.9
ATT;202406031330;731.8
ATT;202406031340;731.9
ATT;202406031350;731.9
ATT;202406031400;731.9
ATT;202406031410;731.9
ATT;202406031420;731.9
ATT;202406031430;731.9
ATT;202406031440;731.9
ATT;202406031450;731.9
ATT;202406031500;731.9
ATT;202406031510;731.9
ATT;202406031520;731.9
ATT;202406031530;731.9
ATT;202406031540;731.9
ATT;202406031550;731.8
ATT;202406031600;731.8
ATT;202406031610;731.8
ATT;202406031620;731.8
ATT;202406031630;731.8
ATT;202406031640;731.8
ATT;202406031650;731.8
ATT;202406031700;731.8
ATT;202406031710;731.8
ATT;202406031720;731.9
ATT;202406031730;731.8
ATT;202406031740;731.8
ATT;202406031750;731.8
ATT;202406031800;731.8
ATT;202406031810;731.8
ATT;202406031820;731.9
ATT;202406031830;731.9
ATT;202406031840;731.9
ATT;202406031850;731.8
ATT;202406031900;731.8
ATT;202406031910;731.8
ATT;202406031920;731.8
ATT;202406031930;731.9
ATT;202406031940;731.9
ATT;202406031950;731.9
ATT;202406032000;731.9
ATT;202406032010;732.0
ATT;202406032020;732.0
ATT;202406032030;732.0
ATT;202406032040;732.0
ATT;202406032050;732.0
ATT;202406032100;731.9
ATT;202406032110;731.9
ATT;202406032120;731.9
ATT;202406032130;731.9
ATT;202406032140;731.9
ATT;202406032150;731.8
ATT;202406032200;731.8
ATT;202406032210;731.8
ATT;202406032220;731.8
ATT;202406032230;731.8
ATT;202406032240;731.7
ATT;202406032250;731.7
ATT;202406032300;731.7
ATT;202406032310;731.7
ATT;202406032320;731.7
ATT;202406032330;731.7
ATT;202406032340;731.6
ATT;202406032350;731.6
ATT;202406040000;731.6
ATT;202406040010;731.5
ATT;202406040020;731.5
ATT;202406040030;731.4
ATT;202406040040;731.3
ATT;202406040050;731.3
ATT;202406040100;731.2
ATT;202406040110;731.2
ATT;202406040120;731.2
ATT;202406040130;731.1
ATT;202406040140;731.1
ATT;202406040150;731.0
ATT;202406040200;730.9
ATT;202406040210;730.9
ATT;202406040220;730.9
ATT;202406040230;730.8
ATT;202406040240;730.8
ATT;202406040250;730.8
ATT;202406040300;730.8
ATT;202406040310;730.7
ATT;202406040320;730.7
ATT;202406040330;730.7
ATT;202406040340;730.6
ATT;202406040350;730.6
ATT;202406040400;730.6
ATT;202406040410;730.6
ATT;202406040420;730.6
ATT;202406040430;730.6
ATT;202406040440;730.6
ATT;202406040450;730.6
ATT;202406040500;730.5
ATT;202406040510;730.5
ATT;202406040520;730.5
ATT;202406040530;730.6
ATT;202406040540;730.6
ATT;202406040550;730.6
ATT;202406040600;730.6
ATT;202406040610;730.6
ATT;202406040620;730.6
ATT;202406040630;730.7
ATT;202406040640;730.7
ATT;202406040650;730.7
ATT;202406040700;730.8
ATT;202406040710;730.8
ATT;202406040720;730.8
ATT;202406040730;730.8
ATT;202406040740;730.9
ATT;202406040750;730.9
ATT;202406040800;730.9
ATT;202406040810;730.9
ATT;202406040820;731.0
ATT;202406040830;731.0
ATT;202406040840;731.0
ATT;202406040850;731.0
ATT;202406040900;731.1
ATT;202406040910;731.1
ATT;202406040920;731.1
ATT;202406040930;731.1
ATT;202406040940;731.2
ATT;202406040950;731.2
ATT;202406041000;731.2
ATT;202406041010;731.3
ATT;202406041020;731.2
ATT;202406041030;731.2
ATT;202406041040;731.2
ATT;202406041050;731.2
